model,prompt,parser,successes,observations,recall,unique_emails,wilson_low,wilson_high,recall_pct,wilson_low_pct,wilson_high_pct
Llama,evidence,P1,155.0,159,0.9748427672955975,159,0.9371079543519492,0.9901743304761864,97.48427672955975,93.71079543519491,99.01743304761864
Llama,evidence,P2,153.0,160,0.95625,160,0.912456958457536,0.9786483884484656,95.625,91.2456958457536,97.86483884484656
Qwen,evidence,P1,136.0,160,0.85,160,0.7865061198301087,0.8970815435498377,85.0,78.65061198301086,89.70815435498378
Llama,label,P1,136.0,160,0.85,160,0.7865061198301087,0.8970815435498377,85.0,78.65061198301086,89.70815435498378
Llama,guided,P1,131.0,160,0.81875,160,0.7518187120680591,0.8707343385101064,81.875,75.18187120680591,87.07343385101063
Llama,guided,P2,130.0,160,0.8125,160,0.7449603968476121,0.8653857311701972,81.25,74.4960396847612,86.53857311701972
Llama,label,P2,116.0,160,0.725,160,0.6511504495603382,0.7882987626124844,72.5,65.11504495603381,78.82987626124844
Qwen,guided,P1,116.0,160,0.725,160,0.6511504495603382,0.7882987626124844,72.5,65.11504495603381,78.82987626124844
Qwen,evidence,P2,115.0,160,0.71875,160,0.6445855244726805,0.782656765139786,71.875,64.45855244726805,78.2656765139786
Qwen,label,P1,104.0,160,0.65,160,0.5733641388868363,0.7196020025617121,65.0,57.33641388868364,71.96020025617122
Qwen,guided,P2,98.0,160,0.6125,160,0.5352180445200426,0.6845065615663689,61.25000000000001,53.52180445200426,68.4506561566369
Qwen,label,P2,63.0,160,0.39375,160,0.3213875070263627,0.4710948094475822,39.375,32.13875070263627,47.10948094475822
